
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 8.499E-21 1.300E-07 1.300E-07 3.521E-10 7.207E+18 6.441E+13 3.011E+29 6.985E+01
  1.250E+05 8.666E-21 1.300E-07 1.300E-07 3.505E-10 7.098E+18 6.188E+13 2.982E+29 6.985E+01
  2.250E+05 8.848E-21 1.300E-07 1.300E-07 3.488E-10 6.980E+18 5.929E+13 2.951E+29 6.985E+01
  3.250E+05 9.044E-21 1.300E-07 1.300E-07 3.472E-10 6.858E+18 5.671E+13 2.919E+29 6.985E+01
  4.250E+05 9.275E-21 1.300E-07 1.300E-07 3.456E-10 6.718E+18 5.391E+13 2.882E+29 6.985E+01
  5.250E+05 9.549E-21 1.300E-07 1.300E-07 3.440E-10 6.555E+18 5.086E+13 2.841E+29 6.985E+01
  6.250E+05 9.847E-21 1.300E-07 1.300E-07 3.426E-10 6.384E+18 4.783E+13 2.798E+29 6.985E+01
  7.250E+05 1.007E-20 1.300E-07 1.300E-07 3.417E-10 6.261E+18 4.577E+13 2.767E+29 6.985E+01
  8.250E+05 1.028E-20 1.300E-07 1.300E-07 3.410E-10 6.145E+18 4.391E+13 2.738E+29 6.985E+01
  9.250E+05 1.045E-20 1.300E-07 1.300E-07 3.405E-10 6.053E+18 4.248E+13 2.716E+29 6.985E+01
  1.025E+06 1.051E-20 1.300E-07 1.300E-07 3.403E-10 6.024E+18 5.253E+13 2.708E+29 6.985E+01
  1.125E+06 1.054E-20 1.300E-07 1.300E-07 3.402E-10 6.008E+18 1.393E+14 2.704E+29 6.985E+01
  1.225E+06 1.053E-20 1.300E-07 1.300E-07 3.402E-10 6.021E+18 2.467E+14 2.706E+29 6.985E+01
  1.325E+06 1.048E-20 1.300E-07 1.300E-07 3.402E-10 6.045E+18 5.286E+14 2.712E+29 6.985E+01
  1.425E+06 1.044E-20 1.300E-07 1.300E-07 3.402E-10 6.069E+18 7.352E+14 2.717E+29 6.985E+01
  1.525E+06 1.040E-20 1.300E-07 1.300E-07 3.403E-10 6.095E+18 9.351E+14 2.723E+29 6.985E+01
  1.625E+06 1.035E-20 1.300E-07 1.300E-07 3.403E-10 6.123E+18 1.086E+15 2.729E+29 6.985E+01
  1.725E+06 1.030E-20 1.300E-07 1.300E-07 3.404E-10 6.155E+18 1.126E+15 2.736E+29 6.985E+01
  1.825E+06 1.024E-20 1.300E-07 1.300E-07 3.405E-10 6.187E+18 1.138E+15 2.744E+29 6.985E+01
  1.925E+06 1.019E-20 1.300E-07 1.300E-07 3.406E-10 6.217E+18 1.093E+15 2.750E+29 6.985E+01
  2.025E+06 1.015E-20 1.300E-07 1.300E-07 3.406E-10 6.244E+18 9.835E+14 2.757E+29 6.985E+01
  2.125E+06 1.011E-20 1.300E-07 1.300E-07 3.407E-10 6.269E+18 8.944E+14 2.762E+29 6.985E+01
  2.225E+06 1.008E-20 1.300E-07 1.300E-07 3.407E-10 6.290E+18 7.920E+14 2.767E+29 6.985E+01
  2.325E+06 1.005E-20 1.300E-07 1.300E-07 3.408E-10 6.308E+18 7.002E+14 2.771E+29 6.985E+01
  2.425E+06 1.003E-20 1.300E-07 1.300E-07 3.408E-10 6.323E+18 6.190E+14 2.774E+29 6.985E+01
  2.525E+06 1.001E-20 1.300E-07 1.300E-07 3.408E-10 6.333E+18 5.480E+14 2.776E+29 6.985E+01
  2.625E+06 1.000E-20 1.300E-07 1.300E-07 3.407E-10 6.340E+18 4.912E+14 2.777E+29 6.985E+01
  2.725E+06 1.000E-20 1.300E-07 1.300E-07 3.407E-10 6.343E+18 4.406E+14 2.777E+29 6.985E+01
  2.825E+06 1.001E-20 1.300E-07 1.300E-07 3.406E-10 6.344E+18 3.891E+14 2.777E+29 6.985E+01
  2.925E+06 1.001E-20 1.300E-07 1.300E-07 3.405E-10 6.343E+18 3.589E+14 2.776E+29 6.985E+01
  3.025E+06 1.002E-20 1.300E-07 1.300E-07 3.404E-10 6.342E+18 3.260E+14 2.775E+29 6.985E+01
  3.125E+06 1.002E-20 1.300E-07 1.300E-07 3.404E-10 6.340E+18 2.911E+14 2.774E+29 6.985E+01
  3.225E+06 1.003E-20 1.300E-07 1.300E-07 3.403E-10 6.342E+18 2.676E+14 2.774E+29 6.985E+01
  3.325E+06 1.001E-20 1.300E-07 1.300E-07 3.403E-10 6.356E+18 2.462E+14 2.777E+29 6.985E+01
