
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 1.826E-08 1.990E-04 4.998E-04 4.153E-06 6.112E+14 6.441E+13 1.834E+17 2.506E+11
  1.250E+05 2.219E-08 1.990E-04 4.998E-04 4.212E-06 5.906E+14 6.188E+13 1.517E+17 2.506E+11
  2.250E+05 3.139E-08 1.990E-04 4.998E-04 4.279E-06 5.691E+14 5.929E+13 1.078E+17 2.506E+11
  3.250E+05 4.518E-08 1.990E-04 4.998E-04 4.352E-06 5.472E+14 5.671E+13 7.523E+16 2.506E+11
  4.250E+05 6.324E-08 1.990E-04 4.998E-04 4.439E-06 5.230E+14 5.391E+13 5.402E+16 2.506E+11
  5.250E+05 8.580E-08 1.990E-04 4.998E-04 4.546E-06 4.961E+14 5.086E+13 4.002E+16 2.506E+11
  6.250E+05 1.131E-07 1.990E-04 4.998E-04 4.666E-06 4.687E+14 4.783E+13 3.050E+16 2.506E+11
  7.250E+05 1.443E-07 1.990E-04 4.998E-04 4.756E-06 4.499E+14 4.577E+13 2.398E+16 2.506E+11
  8.250E+05 1.803E-07 1.990E-04 4.998E-04 4.844E-06 4.326E+14 4.391E+13 1.924E+16 2.506E+11
  9.250E+05 2.201E-07 1.990E-04 4.998E-04 4.917E-06 4.192E+14 4.248E+13 1.578E+16 2.506E+11
  1.025E+06 2.660E-07 1.990E-04 4.998E-04 4.941E-06 4.149E+14 5.253E+13 1.306E+16 2.506E+11
  1.125E+06 3.549E-07 1.990E-04 4.998E-04 4.954E-06 4.126E+14 1.393E+14 9.795E+15 2.506E+11
  1.225E+06 5.640E-07 1.990E-04 4.998E-04 4.945E-06 4.141E+14 2.467E+14 6.163E+15 2.506E+11
  1.325E+06 9.501E-07 1.990E-04 4.998E-04 4.926E-06 4.174E+14 5.286E+14 3.657E+15 2.506E+11
  1.425E+06 1.628E-06 1.990E-04 4.998E-04 4.908E-06 4.208E+14 7.352E+14 2.134E+15 2.506E+11
  1.525E+06 2.492E-06 1.990E-04 4.998E-04 4.888E-06 4.243E+14 9.351E+14 1.394E+15 2.506E+11
  1.625E+06 3.527E-06 1.990E-04 4.998E-04 4.867E-06 4.282E+14 1.086E+15 9.841E+14 2.506E+11
  1.725E+06 4.640E-06 1.990E-04 4.998E-04 4.844E-06 4.326E+14 1.126E+15 7.476E+14 2.506E+11
  1.825E+06 5.759E-06 1.990E-04 4.998E-04 4.820E-06 4.371E+14 1.138E+15 6.021E+14 2.506E+11
  1.925E+06 6.846E-06 1.990E-04 4.998E-04 4.798E-06 4.413E+14 1.093E+15 5.062E+14 2.506E+11
  2.025E+06 7.840E-06 1.990E-04 4.998E-04 4.779E-06 4.451E+14 9.835E+14 4.418E+14 2.506E+11
  2.125E+06 8.726E-06 1.990E-04 4.998E-04 4.761E-06 4.486E+14 8.944E+14 3.968E+14 2.506E+11
  2.225E+06 9.512E-06 1.990E-04 4.998E-04 4.746E-06 4.516E+14 7.920E+14 3.638E+14 2.506E+11
  2.325E+06 1.020E-05 1.990E-04 4.998E-04 4.734E-06 4.541E+14 7.002E+14 3.391E+14 2.506E+11
  2.425E+06 1.081E-05 1.990E-04 4.998E-04 4.724E-06 4.561E+14 6.190E+14 3.200E+14 2.506E+11
  2.525E+06 1.135E-05 1.990E-04 4.998E-04 4.717E-06 4.575E+14 5.480E+14 3.048E+14 2.506E+11
  2.625E+06 1.183E-05 1.990E-04 4.998E-04 4.713E-06 4.583E+14 4.912E+14 2.923E+14 2.506E+11
  2.725E+06 1.227E-05 1.990E-04 4.998E-04 4.712E-06 4.587E+14 4.406E+14 2.819E+14 2.506E+11
  2.825E+06 1.266E-05 1.990E-04 4.998E-04 4.712E-06 4.586E+14 3.891E+14 2.731E+14 2.506E+11
  2.925E+06 1.302E-05 1.990E-04 4.998E-04 4.713E-06 4.583E+14 3.589E+14 2.656E+14 2.506E+11
  3.025E+06 1.335E-05 1.990E-04 4.998E-04 4.715E-06 4.579E+14 3.260E+14 2.591E+14 2.506E+11
