
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 1.255E-01 6.981E-05 1.357E-04 2.073E-03 4.130E+08 7.329E+06 2.568E+10 1.082E+10
  1.250E+05 1.367E-01 6.981E-05 1.357E-04 2.116E-03 3.908E+08 6.837E+06 2.356E+10 1.082E+10
  2.250E+05 1.765E-01 6.981E-05 1.357E-04 2.164E-03 3.740E+08 6.551E+06 1.821E+10 1.082E+10
  3.250E+05 2.352E-01 6.981E-05 1.357E-04 2.218E-03 3.569E+08 6.266E+06 1.363E+10 1.082E+10
  4.250E+05 3.065E-01 6.981E-05 1.357E-04 2.282E-03 3.383E+08 5.958E+06 1.042E+10 1.082E+10
  5.250E+05 3.879E-01 6.981E-05 1.357E-04 2.358E-03 3.179E+08 5.620E+06 8.201E+09 1.082E+10
  6.250E+05 4.767E-01 6.981E-05 1.357E-04 2.446E-03 2.973E+08 5.285E+06 6.637E+09 1.082E+10
  7.250E+05 5.668E-01 6.981E-05 1.357E-04 2.524E-03 2.817E+08 5.058E+06 5.529E+09 1.082E+10
  8.250E+05 6.598E-01 6.981E-05 1.357E-04 2.608E-03 2.671E+08 4.852E+06 4.694E+09 1.082E+10
  9.250E+05 7.505E-01 6.981E-05 1.357E-04 2.692E-03 2.545E+08 4.694E+06 4.065E+09 1.082E+10
  1.025E+06 8.522E-01 6.981E-05 1.357E-04 2.762E-03 2.467E+08 5.805E+06 3.509E+09 1.082E+10
  1.125E+06 1.124E+00 6.981E-05 1.357E-04 2.836E-03 2.396E+08 1.539E+07 2.599E+09 1.082E+10
  1.225E+06 1.873E+00 6.981E-05 1.357E-04 2.911E-03 2.339E+08 2.726E+07 1.517E+09 1.082E+10
  1.325E+06 3.264E+00 6.981E-05 1.357E-04 2.993E-03 2.284E+08 5.841E+07 8.433E+08 1.082E+10
  1.425E+06 5.612E+00 6.981E-05 1.357E-04 3.091E-03 2.221E+08 8.124E+07 4.731E+08 1.082E+10
  1.525E+06 8.262E+00 6.981E-05 1.357E-04 3.206E-03 2.150E+08 1.033E+08 3.086E+08 1.082E+10
  1.625E+06 1.102E+01 6.981E-05 1.357E-04 3.341E-03 2.073E+08 1.200E+08 2.209E+08 1.082E+10
  1.725E+06 1.348E+01 6.981E-05 1.357E-04 3.501E-03 1.989E+08 1.244E+08 1.716E+08 1.082E+10
  1.825E+06 1.540E+01 6.981E-05 1.357E-04 3.690E-03 1.898E+08 1.257E+08 1.418E+08 1.082E+10
  1.925E+06 1.677E+01 6.981E-05 1.357E-04 3.915E-03 1.798E+08 1.208E+08 1.222E+08 1.082E+10
  2.025E+06 1.756E+01 6.974E-05 1.355E-04 4.177E-03 1.693E+08 1.087E+08 1.087E+08 1.079E+10
  2.125E+06 1.789E+01 6.959E-05 1.352E-04 4.481E-03 1.584E+08 9.883E+07 9.883E+07 1.072E+10
  2.225E+06 1.845E+01 6.866E-05 1.331E-04 4.776E-03 1.492E+08 8.752E+07 8.752E+07 1.029E+10
  2.325E+06 1.888E+01 6.753E-05 1.306E-04 5.111E-03 1.398E+08 7.737E+07 7.737E+07 9.793E+09
  2.425E+06 1.918E+01 6.632E-05 1.280E-04 5.496E-03 1.303E+08 6.840E+07 6.840E+07 9.273E+09
  2.525E+06 1.934E+01 6.508E-05 1.254E-04 5.941E-03 1.208E+08 6.055E+07 6.055E+07 8.762E+09
  2.625E+06 1.921E+01 6.403E-05 1.233E-04 6.476E-03 1.109E+08 5.428E+07 5.428E+07 8.346E+09
  2.725E+06 1.899E+01 6.298E-05 1.213E-04 7.088E-03 1.014E+08 4.868E+07 4.868E+07 7.943E+09
  2.825E+06 1.894E+01 6.166E-05 1.188E-04 7.739E-03 9.281E+07 4.299E+07 4.299E+07 7.454E+09
  2.925E+06 1.819E+01 6.105E-05 1.177E-04 8.597E-03 8.352E+07 3.966E+07 3.966E+07 7.235E+09
  3.025E+06 1.764E+01 6.019E-05 1.162E-04 9.520E-03 7.538E+07 3.602E+07 3.602E+07 6.932E+09
  3.125E+06 1.731E+01 5.903E-05 1.143E-04 1.049E-02 6.840E+07 3.216E+07 3.216E+07 6.541E+09
  3.225E+06 1.656E+01 5.834E-05 1.132E-04 1.169E-02 6.135E+07 2.957E+07 2.957E+07 6.312E+09
  3.325E+06 1.578E+01 5.764E-05 1.121E-04 1.305E-02 5.511E+07 2.721E+07 2.721E+07 6.087E+09
  3.425E+06 1.512E+01 5.678E-05 1.109E-04 1.450E-02 4.978E+07 2.481E+07 2.481E+07 5.821E+09
  3.525E+06 1.444E+01 5.601E-05 1.099E-04 1.614E-02 4.482E+07 2.276E+07 2.276E+07 5.585E+09
  3.625E+06 1.421E+01 5.468E-05 1.082E-04 1.765E-02 4.105E+07 2.019E+07 2.019E+07 5.199E+09
  3.725E+06 1.384E+01 5.355E-05 1.069E-04 1.936E-02 3.748E+07 1.815E+07 1.815E+07 4.882E+09
  3.825E+06 1.337E+01 5.257E-05 1.059E-04 2.130E-02 3.411E+07 1.650E+07 1.650E+07 4.619E+09
  3.925E+06 1.316E+01 5.128E-05 1.047E-04 2.309E-02 3.152E+07 1.471E+07 1.471E+07 4.287E+09
  4.025E+06 1.285E+01 5.016E-05 1.038E-04 2.511E-02 2.902E+07 1.327E+07 1.327E+07 4.012E+09
  4.125E+06 1.247E+01 4.916E-05 1.031E-04 2.738E-02 2.664E+07 1.209E+07 1.209E+07 3.778E+09
  4.225E+06 1.227E+01 4.796E-05 1.025E-04 2.946E-02 2.476E+07 1.086E+07 1.086E+07 3.508E+09
  4.325E+06 1.221E+01 4.664E-05 1.019E-04 3.135E-02 2.326E+07 9.669E+06 9.669E+06 3.226E+09
  4.425E+06 1.223E+01 4.527E-05 1.014E-04 3.308E-02 2.203E+07 8.568E+06 8.568E+06 2.949E+09
  4.525E+06 1.182E+01 4.447E-05 1.012E-04 3.603E-02 2.022E+07 7.919E+06 7.919E+06 2.795E+09
  4.625E+06 1.194E+01 4.304E-05 1.010E-04 3.759E-02 1.937E+07 6.978E+06 6.978E+06 2.535E+09
  4.725E+06 1.179E+01 4.198E-05 1.009E-04 4.003E-02 1.820E+07 6.318E+06 6.318E+06 2.353E+09
  4.825E+06 1.154E+01 4.106E-05 1.008E-04 4.295E-02 1.698E+07 5.783E+06 5.783E+06 2.202E+09
  4.925E+06 1.138E+01 4.005E-05 1.008E-04 4.566E-02 1.602E+07 5.249E+06 5.249E+06 2.042E+09
  5.025E+06 1.110E+01 3.919E-05 1.008E-04 4.905E-02 1.500E+07 4.833E+06 4.833E+06 1.914E+09
  5.125E+06 1.077E+01 3.843E-05 1.008E-04 5.296E-02 1.397E+07 4.486E+06 4.486E+06 1.805E+09
  5.225E+06 1.052E+01 3.764E-05 1.007E-04 5.697E-02 1.304E+07 4.156E+06 4.156E+06 1.695E+09
