
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 0.000E+00 1.323E-05 3.356E-05 2.073E-03 0.000E+00 7.329E+06 0.000E+00 8.451E+09
  1.250E+05 0.000E+00 1.323E-05 3.356E-05 2.116E-03 0.000E+00 6.837E+06 0.000E+00 8.451E+09
  2.250E+05 0.000E+00 1.323E-05 3.356E-05 2.164E-03 0.000E+00 6.551E+06 0.000E+00 8.451E+09
  3.250E+05 0.000E+00 1.323E-05 3.356E-05 2.218E-03 0.000E+00 6.266E+06 0.000E+00 8.451E+09
  4.250E+05 0.000E+00 1.323E-05 3.356E-05 2.282E-03 0.000E+00 5.958E+06 0.000E+00 8.451E+09
  5.250E+05 0.000E+00 1.323E-05 3.356E-05 2.358E-03 0.000E+00 5.620E+06 0.000E+00 8.451E+09
  6.250E+05 0.000E+00 1.323E-05 3.356E-05 2.446E-03 0.000E+00 5.285E+06 0.000E+00 8.451E+09
  7.250E+05 0.000E+00 1.323E-05 3.356E-05 2.524E-03 0.000E+00 5.058E+06 0.000E+00 8.451E+09
  8.250E+05 0.000E+00 1.323E-05 3.356E-05 2.608E-03 0.000E+00 4.852E+06 0.000E+00 8.451E+09
  9.250E+05 0.000E+00 1.323E-05 3.356E-05 2.692E-03 0.000E+00 4.694E+06 0.000E+00 8.451E+09
  1.025E+06 0.000E+00 1.323E-05 3.356E-05 2.762E-03 0.000E+00 5.805E+06 0.000E+00 8.451E+09
  1.125E+06 0.000E+00 1.323E-05 3.356E-05 2.836E-03 0.000E+00 1.539E+07 0.000E+00 8.451E+09
  1.225E+06 0.000E+00 1.323E-05 3.356E-05 2.911E-03 0.000E+00 2.726E+07 0.000E+00 8.451E+09
  1.325E+06 0.000E+00 1.323E-05 3.356E-05 2.993E-03 0.000E+00 5.841E+07 0.000E+00 8.451E+09
  1.425E+06 0.000E+00 1.323E-05 3.356E-05 3.091E-03 0.000E+00 8.124E+07 0.000E+00 8.451E+09
  1.525E+06 0.000E+00 1.323E-05 3.356E-05 3.206E-03 0.000E+00 1.033E+08 0.000E+00 8.451E+09
  1.625E+06 0.000E+00 1.323E-05 3.356E-05 3.341E-03 0.000E+00 1.200E+08 0.000E+00 8.451E+09
  1.725E+06 0.000E+00 1.323E-05 3.356E-05 3.501E-03 0.000E+00 1.244E+08 0.000E+00 8.451E+09
  1.825E+06 0.000E+00 1.323E-05 3.356E-05 3.690E-03 0.000E+00 1.257E+08 0.000E+00 8.451E+09
  1.925E+06 0.000E+00 1.323E-05 3.356E-05 3.915E-03 0.000E+00 1.208E+08 0.000E+00 8.451E+09
  2.025E+06 0.000E+00 1.323E-05 3.356E-05 4.177E-03 0.000E+00 1.087E+08 0.000E+00 8.426E+09
  2.125E+06 0.000E+00 1.323E-05 3.356E-05 4.481E-03 0.000E+00 9.883E+07 0.000E+00 8.372E+09
  2.225E+06 0.000E+00 1.323E-05 3.356E-05 4.776E-03 0.000E+00 8.752E+07 0.000E+00 8.042E+09
  2.325E+06 0.000E+00 1.321E-05 3.348E-05 5.111E-03 0.000E+00 7.737E+07 0.000E+00 7.651E+09
  2.425E+06 0.000E+00 1.315E-05 3.319E-05 5.496E-03 0.000E+00 6.840E+07 0.000E+00 7.244E+09
  2.525E+06 0.000E+00 1.305E-05 3.276E-05 5.941E-03 0.000E+00 6.055E+07 0.000E+00 6.845E+09
  2.625E+06 0.000E+00 1.297E-05 3.237E-05 6.476E-03 0.000E+00 5.428E+07 0.000E+00 6.520E+09
  2.725E+06 0.000E+00 1.286E-05 3.189E-05 7.088E-03 0.000E+00 4.868E+07 0.000E+00 6.205E+09
  2.825E+06 0.000E+00 1.269E-05 3.109E-05 7.739E-03 0.000E+00 4.299E+07 0.000E+00 5.823E+09
  2.925E+06 0.000E+00 1.262E-05 3.079E-05 8.597E-03 0.000E+00 3.966E+07 0.000E+00 5.652E+09
  3.025E+06 0.000E+00 1.250E-05 3.022E-05 9.520E-03 0.000E+00 3.602E+07 0.000E+00 5.416E+09
  3.125E+06 0.000E+00 1.230E-05 2.931E-05 1.049E-02 0.000E+00 3.216E+07 0.000E+00 5.110E+09
  3.225E+06 0.000E+00 1.216E-05 2.871E-05 1.169E-02 0.000E+00 2.957E+07 0.000E+00 4.931E+09
  3.325E+06 0.000E+00 1.201E-05 2.802E-05 1.305E-02 0.000E+00 2.721E+07 0.000E+00 4.756E+09
  3.425E+06 0.000E+00 1.179E-05 2.708E-05 1.450E-02 0.000E+00 2.481E+07 0.000E+00 4.547E+09
  3.525E+06 0.000E+00 1.156E-05 2.608E-05 1.614E-02 0.000E+00 2.276E+07 0.000E+00 4.364E+09
  3.625E+06 0.000E+00 1.115E-05 2.434E-05 1.765E-02 0.000E+00 2.019E+07 0.000E+00 4.062E+09
  3.725E+06 0.000E+00 1.068E-05 2.244E-05 1.936E-02 0.000E+00 1.815E+07 0.000E+00 3.814E+09
  3.825E+06 0.000E+00 1.011E-05 2.018E-05 2.130E-02 0.000E+00 1.650E+07 0.000E+00 3.608E+09
  3.925E+06 0.000E+00 9.112E-06 1.646E-05 2.309E-02 0.000E+00 1.471E+07 0.000E+00 3.349E+09
  4.025E+06 0.000E+00 7.420E-06 1.098E-05 2.511E-02 0.000E+00 1.327E+07 0.000E+00 3.134E+09
  4.125E+06 0.000E+00 5.289E-06 5.594E-06 2.738E-02 0.000E+00 1.209E+07 0.000E+00 2.951E+09
  4.225E+06 0.000E+00 4.659E-06 4.659E-06 2.946E-02 0.000E+00 1.086E+07 0.000E+00 2.741E+09
  4.325E+06 0.000E+00 4.276E-06 4.276E-06 3.135E-02 0.000E+00 9.669E+06 0.000E+00 2.521E+09
  4.425E+06 0.000E+00 3.917E-06 3.917E-06 3.308E-02 0.000E+00 8.568E+06 0.000E+00 2.304E+09
  4.525E+06 0.000E+00 3.651E-06 3.651E-06 3.603E-02 0.000E+00 7.919E+06 0.000E+00 2.184E+09
  4.625E+06 0.000E+00 3.339E-06 3.339E-06 3.759E-02 0.000E+00 6.978E+06 0.000E+00 1.981E+09
  4.725E+06 0.000E+00 3.087E-06 3.087E-06 4.003E-02 0.000E+00 6.318E+06 0.000E+00 1.838E+09
  4.825E+06 0.000E+00 2.867E-06 2.867E-06 4.295E-02 0.000E+00 5.783E+06 0.000E+00 1.720E+09
  4.925E+06 0.000E+00 2.654E-06 2.654E-06 4.566E-02 0.000E+00 5.249E+06 0.000E+00 1.595E+09
  5.025E+06 0.000E+00 2.470E-06 2.470E-06 4.905E-02 0.000E+00 4.833E+06 0.000E+00 1.496E+09
  5.125E+06 0.000E+00 2.309E-06 2.309E-06 5.296E-02 0.000E+00 4.486E+06 0.000E+00 1.410E+09
  5.225E+06 0.000E+00 2.158E-06 2.158E-06 5.697E-02 0.000E+00 4.156E+06 0.000E+00 1.325E+09
  5.325E+06 0.000E+00 2.014E-06 2.014E-06 6.084E-02 0.000E+00 3.825E+06 0.000E+00 1.235E+09
  5.425E+06 0.000E+00 1.872E-06 1.872E-06 6.439E-02 0.000E+00 3.486E+06 0.000E+00 1.140E+09
  5.525E+06 0.000E+00 1.733E-06 1.733E-06 6.746E-02 0.000E+00 3.139E+06 0.000E+00 1.040E+09
  5.625E+06 0.000E+00 1.595E-06 1.595E-06 6.999E-02 0.000E+00 2.788E+06 0.000E+00 9.345E+08
  5.725E+06 0.000E+00 1.460E-06 1.460E-06 7.196E-02 0.000E+00 2.438E+06 0.000E+00 8.263E+08
  5.825E+06 0.000E+00 1.327E-06 1.327E-06 7.350E-02 0.000E+00 2.098E+06 0.000E+00 7.174E+08
  5.925E+06 0.000E+00 1.200E-06 1.200E-06 7.499E-02 0.000E+00 1.784E+06 0.000E+00 6.112E+08
  6.025E+06 0.000E+00 1.080E-06 1.080E-06 7.688E-02 0.000E+00 1.505E+06 0.000E+00 5.108E+08
  6.125E+06 0.000E+00 9.697E-07 9.697E-07 7.959E-02 0.000E+00 1.263E+06 0.000E+00 4.167E+08
  6.225E+06 0.000E+00 8.678E-07 8.678E-07 8.357E-02 0.000E+00 1.055E+06 0.000E+00 3.280E+08
  6.325E+06 0.000E+00 7.738E-07 7.738E-07 8.967E-02 0.000E+00 8.754E+05 0.000E+00 2.428E+08
  6.425E+06 0.000E+00 6.864E-07 6.864E-07 1.003E-01 0.000E+00 7.182E+05 0.000E+00 1.589E+08
  6.525E+06 0.000E+00 6.030E-07 6.030E-07 1.259E-01 0.000E+00 5.748E+05 0.000E+00 7.613E+07
  6.625E+06 0.000E+00 5.217E-07 5.217E-07 2.215E-01 0.000E+00 4.428E+05 0.000E+00 1.653E+07
  6.725E+06 0.000E+00 4.488E-07 4.488E-07 4.360E-01 0.000E+00 3.394E+05 0.000E+00 2.740E+06
