
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 1.071E-01 5.798E-05 1.127E-04 1.447E-03 6.092E+08 7.765E+06 2.979E+10 6.198E+09
  1.250E+05 1.165E-01 5.798E-05 1.127E-04 1.478E-03 5.594E+08 6.837E+06 2.731E+10 6.198E+09
  2.250E+05 1.504E-01 5.798E-05 1.127E-04 1.514E-03 5.347E+08 6.551E+06 2.109E+10 6.198E+09
  3.250E+05 2.004E-01 5.798E-05 1.127E-04 1.554E-03 5.095E+08 6.266E+06 1.576E+10 6.198E+09
  4.250E+05 2.613E-01 5.798E-05 1.127E-04 1.601E-03 4.822E+08 5.958E+06 1.203E+10 6.198E+09
  5.250E+05 3.307E-01 5.798E-05 1.127E-04 1.657E-03 4.524E+08 5.620E+06 9.454E+09 6.198E+09
  6.250E+05 4.065E-01 5.798E-05 1.127E-04 1.721E-03 4.223E+08 5.285E+06 7.635E+09 6.198E+09
  7.250E+05 4.835E-01 5.798E-05 1.127E-04 1.781E-03 3.994E+08 5.058E+06 6.345E+09 6.198E+09
  8.250E+05 5.630E-01 5.798E-05 1.127E-04 1.844E-03 3.777E+08 4.852E+06 5.372E+09 6.198E+09
  9.250E+05 6.406E-01 5.798E-05 1.127E-04 1.910E-03 3.588E+08 4.694E+06 4.637E+09 6.198E+09
  1.025E+06 7.276E-01 5.798E-05 1.127E-04 1.966E-03 3.467E+08 5.805E+06 3.988E+09 6.198E+09
  1.125E+06 9.602E-01 5.798E-05 1.127E-04 2.027E-03 3.353E+08 1.539E+07 2.941E+09 6.198E+09
  1.225E+06 1.603E+00 5.798E-05 1.127E-04 2.090E-03 3.258E+08 2.726E+07 1.706E+09 6.198E+09
  1.325E+06 2.801E+00 5.798E-05 1.127E-04 2.160E-03 3.164E+08 5.841E+07 9.404E+08 6.198E+09
  1.425E+06 4.844E+00 5.798E-05 1.127E-04 2.244E-03 3.059E+08 8.124E+07 5.216E+08 6.198E+09
  1.525E+06 7.181E+00 5.798E-05 1.127E-04 2.343E-03 2.942E+08 1.033E+08 3.357E+08 6.198E+09
  1.625E+06 9.662E+00 5.798E-05 1.127E-04 2.460E-03 2.816E+08 1.200E+08 2.366E+08 6.198E+09
  1.725E+06 1.192E+01 5.798E-05 1.127E-04 2.598E-03 2.681E+08 1.244E+08 1.808E+08 6.198E+09
  1.825E+06 1.373E+01 5.798E-05 1.127E-04 2.761E-03 2.536E+08 1.257E+08 1.469E+08 6.198E+09
  1.925E+06 1.507E+01 5.798E-05 1.127E-04 2.955E-03 2.382E+08 1.208E+08 1.245E+08 6.198E+09
  2.025E+06 1.585E+01 5.798E-05 1.127E-04 3.184E-03 2.220E+08 1.087E+08 1.095E+08 6.198E+09
  2.125E+06 1.615E+01 5.797E-05 1.126E-04 3.452E-03 2.056E+08 9.883E+07 9.883E+07 6.193E+09
  2.225E+06 1.658E+01 5.736E-05 1.117E-04 3.700E-03 1.926E+08 8.752E+07 8.752E+07 6.001E+09
  2.325E+06 1.693E+01 5.654E-05 1.106E-04 3.961E-03 1.804E+08 7.737E+07 7.737E+07 5.746E+09
  2.425E+06 1.719E+01 5.560E-05 1.093E-04 4.245E-03 1.687E+08 6.840E+07 6.840E+07 5.465E+09
  2.525E+06 1.735E+01 5.461E-05 1.081E-04 4.557E-03 1.574E+08 6.055E+07 6.055E+07 5.179E+09
  2.625E+06 1.725E+01 5.378E-05 1.071E-04 4.932E-03 1.456E+08 5.428E+07 5.428E+07 4.946E+09
  2.725E+06 1.710E+01 5.293E-05 1.062E-04 5.348E-03 1.343E+08 4.868E+07 4.868E+07 4.714E+09
  2.825E+06 1.714E+01 5.181E-05 1.052E-04 5.746E-03 1.250E+08 4.299E+07 4.299E+07 4.421E+09
  2.925E+06 1.649E+01 5.134E-05 1.048E-04 6.352E-03 1.130E+08 3.966E+07 3.966E+07 4.302E+09
