
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 0.000E+00 1.323E-05 3.356E-05 1.447E-03 0.000E+00 7.765E+06 0.000E+00 4.842E+09
  1.250E+05 0.000E+00 1.323E-05 3.356E-05 1.478E-03 0.000E+00 6.837E+06 0.000E+00 4.842E+09
  2.250E+05 0.000E+00 1.323E-05 3.356E-05 1.514E-03 0.000E+00 6.551E+06 0.000E+00 4.842E+09
  3.250E+05 0.000E+00 1.323E-05 3.356E-05 1.554E-03 0.000E+00 6.266E+06 0.000E+00 4.842E+09
  4.250E+05 0.000E+00 1.323E-05 3.356E-05 1.601E-03 0.000E+00 5.958E+06 0.000E+00 4.842E+09
  5.250E+05 0.000E+00 1.323E-05 3.356E-05 1.657E-03 0.000E+00 5.620E+06 0.000E+00 4.842E+09
  6.250E+05 0.000E+00 1.323E-05 3.356E-05 1.721E-03 0.000E+00 5.285E+06 0.000E+00 4.842E+09
  7.250E+05 0.000E+00 1.323E-05 3.356E-05 1.781E-03 0.000E+00 5.058E+06 0.000E+00 4.842E+09
  8.250E+05 0.000E+00 1.323E-05 3.356E-05 1.844E-03 0.000E+00 4.852E+06 0.000E+00 4.842E+09
  9.250E+05 0.000E+00 1.323E-05 3.356E-05 1.910E-03 0.000E+00 4.694E+06 0.000E+00 4.842E+09
  1.025E+06 0.000E+00 1.323E-05 3.356E-05 1.966E-03 0.000E+00 5.805E+06 0.000E+00 4.842E+09
  1.125E+06 0.000E+00 1.323E-05 3.356E-05 2.027E-03 0.000E+00 1.539E+07 0.000E+00 4.842E+09
  1.225E+06 0.000E+00 1.323E-05 3.356E-05 2.090E-03 0.000E+00 2.726E+07 0.000E+00 4.842E+09
  1.325E+06 0.000E+00 1.323E-05 3.356E-05 2.160E-03 0.000E+00 5.841E+07 0.000E+00 4.842E+09
  1.425E+06 0.000E+00 1.323E-05 3.356E-05 2.244E-03 0.000E+00 8.124E+07 0.000E+00 4.842E+09
  1.525E+06 0.000E+00 1.323E-05 3.356E-05 2.343E-03 0.000E+00 1.033E+08 0.000E+00 4.842E+09
  1.625E+06 0.000E+00 1.323E-05 3.356E-05 2.460E-03 0.000E+00 1.200E+08 0.000E+00 4.842E+09
  1.725E+06 0.000E+00 1.323E-05 3.356E-05 2.598E-03 0.000E+00 1.244E+08 0.000E+00 4.842E+09
  1.825E+06 0.000E+00 1.323E-05 3.356E-05 2.761E-03 0.000E+00 1.257E+08 0.000E+00 4.842E+09
  1.925E+06 0.000E+00 1.323E-05 3.356E-05 2.955E-03 0.000E+00 1.208E+08 0.000E+00 4.842E+09
  2.025E+06 0.000E+00 1.323E-05 3.356E-05 3.184E-03 0.000E+00 1.087E+08 0.000E+00 4.842E+09
  2.125E+06 0.000E+00 1.323E-05 3.356E-05 3.452E-03 0.000E+00 9.883E+07 0.000E+00 4.839E+09
  2.225E+06 0.000E+00 1.323E-05 3.356E-05 3.700E-03 0.000E+00 8.752E+07 0.000E+00 4.688E+09
  2.325E+06 0.000E+00 1.321E-05 3.348E-05 3.961E-03 0.000E+00 7.737E+07 0.000E+00 4.489E+09
  2.425E+06 0.000E+00 1.315E-05 3.319E-05 4.245E-03 0.000E+00 6.840E+07 0.000E+00 4.270E+09
  2.525E+06 0.000E+00 1.305E-05 3.276E-05 4.557E-03 0.000E+00 6.055E+07 0.000E+00 4.046E+09
  2.625E+06 0.000E+00 1.297E-05 3.237E-05 4.932E-03 0.000E+00 5.428E+07 0.000E+00 3.864E+09
  2.725E+06 0.000E+00 1.286E-05 3.189E-05 5.348E-03 0.000E+00 4.868E+07 0.000E+00 3.682E+09
  2.825E+06 0.000E+00 1.269E-05 3.109E-05 5.746E-03 0.000E+00 4.299E+07 0.000E+00 3.454E+09
  2.925E+06 0.000E+00 1.262E-05 3.079E-05 6.352E-03 0.000E+00 3.966E+07 0.000E+00 3.361E+09
  3.025E+06 0.000E+00 1.250E-05 3.022E-05 6.960E-03 0.000E+00 3.602E+07 0.000E+00 3.223E+09
  3.125E+06 0.000E+00 1.230E-05 2.931E-05 7.535E-03 0.000E+00 3.216E+07 0.000E+00 3.039E+09
  3.225E+06 0.000E+00 1.216E-05 2.871E-05 8.328E-03 0.000E+00 2.957E+07 0.000E+00 2.938E+09
  3.325E+06 0.000E+00 1.201E-05 2.802E-05 9.210E-03 0.000E+00 2.721E+07 0.000E+00 2.839E+09
  3.425E+06 0.000E+00 1.179E-05 2.708E-05 1.011E-02 0.000E+00 2.481E+07 0.000E+00 2.719E+09
  3.525E+06 0.000E+00 1.156E-05 2.608E-05 1.114E-02 0.000E+00 2.276E+07 0.000E+00 2.614E+09
  3.625E+06 0.000E+00 1.115E-05 2.434E-05 1.192E-02 0.000E+00 2.019E+07 0.000E+00 2.432E+09
  3.725E+06 0.000E+00 1.068E-05 2.244E-05 1.286E-02 0.000E+00 1.815E+07 0.000E+00 2.287E+09
  3.825E+06 0.000E+00 1.011E-05 2.018E-05 1.398E-02 0.000E+00 1.650E+07 0.000E+00 2.169E+09
  3.925E+06 0.000E+00 9.112E-06 1.646E-05 1.490E-02 0.000E+00 1.471E+07 0.000E+00 2.017E+09
  4.025E+06 0.000E+00 7.420E-06 1.098E-05 1.602E-02 0.000E+00 1.327E+07 0.000E+00 1.893E+09
  4.125E+06 0.000E+00 5.289E-06 5.594E-06 1.734E-02 0.000E+00 1.209E+07 0.000E+00 1.790E+09
  4.225E+06 0.000E+00 4.659E-06 4.659E-06 1.851E-02 0.000E+00 1.086E+07 0.000E+00 1.670E+09
  4.325E+06 0.000E+00 4.276E-06 4.276E-06 1.957E-02 0.000E+00 9.669E+06 0.000E+00 1.542E+09
  4.425E+06 0.000E+00 3.917E-06 3.917E-06 2.057E-02 0.000E+00 8.568E+06 0.000E+00 1.416E+09
  4.525E+06 0.000E+00 3.651E-06 3.651E-06 2.246E-02 0.000E+00 7.919E+06 0.000E+00 1.350E+09
  4.625E+06 0.000E+00 3.339E-06 3.339E-06 2.348E-02 0.000E+00 6.978E+06 0.000E+00 1.230E+09
  4.725E+06 0.000E+00 3.087E-06 3.087E-06 2.515E-02 0.000E+00 6.318E+06 0.000E+00 1.147E+09
  4.825E+06 0.000E+00 2.867E-06 2.867E-06 2.719E-02 0.000E+00 5.783E+06 0.000E+00 1.079E+09
  4.925E+06 0.000E+00 2.654E-06 2.654E-06 2.918E-02 0.000E+00 5.249E+06 0.000E+00 1.005E+09
  5.025E+06 0.000E+00 2.470E-06 2.470E-06 3.166E-02 0.000E+00 4.833E+06 0.000E+00 9.462E+08
  5.125E+06 0.000E+00 2.309E-06 2.309E-06 3.453E-02 0.000E+00 4.486E+06 0.000E+00 8.953E+08
  5.225E+06 0.000E+00 2.158E-06 2.158E-06 3.755E-02 0.000E+00 4.156E+06 0.000E+00 8.437E+08
  5.325E+06 0.000E+00 2.014E-06 2.014E-06 4.061E-02 0.000E+00 3.825E+06 0.000E+00 7.885E+08
  5.425E+06 0.000E+00 1.872E-06 1.872E-06 4.360E-02 0.000E+00 3.486E+06 0.000E+00 7.282E+08
  5.525E+06 0.000E+00 1.733E-06 1.733E-06 4.646E-02 0.000E+00 3.139E+06 0.000E+00 6.629E+08
  5.625E+06 0.000E+00 1.595E-06 1.595E-06 4.920E-02 0.000E+00 2.788E+06 0.000E+00 5.933E+08
  5.725E+06 0.000E+00 1.460E-06 1.460E-06 5.182E-02 0.000E+00 2.438E+06 0.000E+00 5.201E+08
  5.825E+06 0.000E+00 1.327E-06 1.327E-06 5.449E-02 0.000E+00 2.098E+06 0.000E+00 4.448E+08
  5.925E+06 0.000E+00 1.200E-06 1.200E-06 5.752E-02 0.000E+00 1.784E+06 0.000E+00 3.698E+08
  6.025E+06 0.000E+00 1.080E-06 1.080E-06 6.137E-02 0.000E+00 1.505E+06 0.000E+00 2.965E+08
  6.125E+06 0.000E+00 9.697E-07 9.697E-07 6.671E-02 0.000E+00 1.263E+06 0.000E+00 2.249E+08
  6.225E+06 0.000E+00 8.678E-07 8.678E-07 7.508E-02 0.000E+00 1.055E+06 0.000E+00 1.537E+08
  6.325E+06 0.000E+00 7.738E-07 7.738E-07 9.185E-02 0.000E+00 8.754E+05 0.000E+00 8.340E+07
  6.425E+06 0.000E+00 6.864E-07 6.864E-07 1.399E-01 0.000E+00 7.182E+05 0.000E+00 2.678E+07
  6.525E+06 0.000E+00 6.030E-07 6.030E-07 2.950E-01 0.000E+00 5.748E+05 0.000E+00 4.131E+06
  6.625E+06 0.000E+00 5.217E-07 5.217E-07 3.324E-01 0.000E+00 4.428E+05 0.000E+00 2.061E+06
  6.725E+06 0.000E+00 4.488E-07 4.488E-07 3.375E-01 0.000E+00 3.394E+05 0.000E+00 1.274E+06
  6.825E+06 0.000E+00 3.948E-07 3.948E-07 3.562E-01 0.000E+00 2.786E+05 0.000E+00 8.462E+05
  6.925E+06 0.000E+00 3.765E-07 3.765E-07 4.045E-01 0.000E+00 2.924E+05 0.000E+00 7.160E+05
  7.025E+06 0.000E+00 3.549E-07 3.549E-07 4.547E-01 0.000E+00 2.925E+05 0.000E+00 5.845E+05
