
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 4.456E-02 1.300E-07 1.300E-07 1.091E-06 7.734E+11 7.118E+06 5.742E+10 6.985E+01
  1.250E+05 4.843E-02 1.300E-07 1.300E-07 1.223E-06 6.762E+11 6.837E+06 5.334E+10 6.985E+01
  2.250E+05 6.250E-02 1.300E-07 1.300E-07 1.374E-06 5.890E+11 6.551E+06 4.177E+10 6.985E+01
  3.250E+05 8.329E-02 1.300E-07 1.300E-07 1.549E-06 5.111E+11 6.266E+06 3.169E+10 6.985E+01
  4.250E+05 1.086E-01 1.300E-07 1.300E-07 1.751E-06 4.409E+11 5.958E+06 2.461E+10 6.985E+01
  5.250E+05 1.375E-01 1.300E-07 1.300E-07 1.986E-06 3.775E+11 5.620E+06 1.971E+10 6.985E+01
  6.250E+05 1.692E-01 1.300E-07 1.300E-07 2.263E-06 3.212E+11 5.285E+06 1.628E+10 6.985E+01
  7.250E+05 2.013E-01 1.300E-07 1.300E-07 2.592E-06 2.743E+11 5.058E+06 1.383E+10 6.985E+01
  8.250E+05 2.346E-01 1.300E-07 1.300E-07 2.980E-06 2.337E+11 4.852E+06 1.199E+10 6.985E+01
  9.250E+05 2.672E-01 1.300E-07 1.300E-07 3.438E-06 1.993E+11 4.694E+06 1.062E+10 6.985E+01
  1.025E+06 3.037E-01 1.300E-07 1.300E-07 3.976E-06 1.714E+11 5.805E+06 9.368E+09 6.985E+01
  1.125E+06 4.014E-01 1.300E-07 1.300E-07 4.602E-06 1.477E+11 1.539E+07 7.099E+09 6.985E+01
  1.225E+06 6.729E-01 1.300E-07 1.300E-07 5.329E-06 1.278E+11 2.726E+07 4.231E+09 6.985E+01
  1.325E+06 1.186E+00 1.300E-07 1.300E-07 6.169E-06 1.108E+11 5.841E+07 2.397E+09 6.985E+01
  1.425E+06 2.081E+00 1.300E-07 1.300E-07 7.138E-06 9.617E+10 8.124E+07 1.363E+09 6.985E+01
  1.525E+06 3.147E+00 1.300E-07 1.300E-07 8.254E-06 8.353E+10 1.033E+08 8.992E+08 6.985E+01
  1.625E+06 4.339E+00 1.300E-07 1.300E-07 9.539E-06 7.262E+10 1.200E+08 6.507E+08 6.985E+01
  1.725E+06 5.499E+00 1.300E-07 1.300E-07 1.102E-05 6.322E+10 1.244E+08 5.122E+08 6.985E+01
  1.825E+06 6.518E+00 1.300E-07 1.300E-07 1.272E-05 5.507E+10 1.257E+08 4.310E+08 6.985E+01
  1.925E+06 7.362E+00 1.300E-07 1.300E-07 1.466E-05 4.800E+10 1.208E+08 3.806E+08 6.985E+01
  2.025E+06 7.956E+00 1.300E-07 1.300E-07 1.690E-05 4.184E+10 1.087E+08 3.515E+08 6.985E+01
  2.125E+06 8.311E+00 1.300E-07 1.300E-07 1.946E-05 3.648E+10 9.883E+07 3.358E+08 6.985E+01
  2.225E+06 8.470E+00 1.300E-07 1.300E-07 2.240E-05 3.180E+10 8.752E+07 3.290E+08 6.985E+01
  2.325E+06 8.460E+00 1.300E-07 1.300E-07 2.577E-05 2.773E+10 7.737E+07 3.289E+08 6.985E+01
  2.425E+06 8.324E+00 1.300E-07 1.300E-07 2.964E-05 2.417E+10 6.840E+07 3.339E+08 6.985E+01
  2.525E+06 8.096E+00 1.300E-07 1.300E-07 3.407E-05 2.106E+10 6.055E+07 3.431E+08 6.985E+01
  2.625E+06 7.808E+00 1.300E-07 1.300E-07 3.915E-05 1.834E+10 5.428E+07 3.556E+08 6.985E+01
  2.725E+06 7.482E+00 1.300E-07 1.300E-07 4.499E-05 1.597E+10 4.868E+07 3.711E+08 6.985E+01
  2.825E+06 7.124E+00 1.300E-07 1.300E-07 5.170E-05 1.389E+10 4.299E+07 3.898E+08 6.985E+01
  2.925E+06 6.755E+00 1.300E-07 1.300E-07 5.940E-05 1.209E+10 3.966E+07 4.112E+08 6.985E+01
  3.025E+06 6.388E+00 1.300E-07 1.300E-07 6.826E-05 1.051E+10 3.602E+07 4.350E+08 6.985E+01
  3.125E+06 6.017E+00 1.300E-07 1.300E-07 7.844E-05 9.145E+09 3.216E+07 4.619E+08 6.985E+01
  3.225E+06 5.649E+00 1.300E-07 1.300E-07 9.015E-05 7.957E+09 2.957E+07 4.921E+08 6.985E+01
  3.325E+06 5.284E+00 1.300E-07 1.300E-07 1.036E-04 6.938E+09 2.721E+07 5.256E+08 6.985E+01
  3.425E+06 4.927E+00 1.300E-07 1.300E-07 1.191E-04 6.062E+09 2.481E+07 5.627E+08 6.985E+01
  3.525E+06 4.595E+00 1.300E-07 1.300E-07 1.367E-04 5.291E+09 2.276E+07 6.027E+08 6.985E+01
  3.625E+06 4.279E+00 1.300E-07 1.300E-07 1.570E-04 4.615E+09 2.019E+07 6.467E+08 6.985E+01
  3.725E+06 3.974E+00 1.300E-07 1.300E-07 1.802E-04 4.027E+09 1.815E+07 6.960E+08 6.985E+01
  3.825E+06 3.684E+00 1.300E-07 1.300E-07 2.068E-04 3.514E+09 1.650E+07 7.502E+08 6.985E+01
  3.925E+06 3.410E+00 1.300E-07 1.300E-07 2.372E-04 3.068E+09 1.471E+07 8.102E+08 6.985E+01
  4.025E+06 3.150E+00 1.300E-07 1.300E-07 2.721E-04 2.678E+09 1.327E+07 8.765E+08 6.985E+01
  4.125E+06 2.908E+00 1.300E-07 1.300E-07 3.121E-04 2.337E+09 1.209E+07 9.490E+08 6.985E+01
