
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 0.000E+00 1.323E-05 3.356E-05 1.091E-06 0.000E+00 7.118E+06 0.000E+00 5.457E+01
  1.250E+05 0.000E+00 1.323E-05 3.356E-05 1.223E-06 0.000E+00 6.837E+06 0.000E+00 5.457E+01
  2.250E+05 0.000E+00 1.323E-05 3.356E-05 1.374E-06 0.000E+00 6.551E+06 0.000E+00 5.457E+01
  3.250E+05 0.000E+00 1.323E-05 3.356E-05 1.549E-06 0.000E+00 6.266E+06 0.000E+00 5.457E+01
  4.250E+05 0.000E+00 1.323E-05 3.356E-05 1.751E-06 0.000E+00 5.958E+06 0.000E+00 5.457E+01
  5.250E+05 0.000E+00 1.323E-05 3.356E-05 1.986E-06 0.000E+00 5.620E+06 0.000E+00 5.457E+01
  6.250E+05 0.000E+00 1.323E-05 3.356E-05 2.263E-06 0.000E+00 5.285E+06 0.000E+00 5.457E+01
  7.250E+05 0.000E+00 1.323E-05 3.356E-05 2.592E-06 0.000E+00 5.058E+06 0.000E+00 5.457E+01
  8.250E+05 0.000E+00 1.323E-05 3.356E-05 2.980E-06 0.000E+00 4.852E+06 0.000E+00 5.457E+01
  9.250E+05 0.000E+00 1.323E-05 3.356E-05 3.438E-06 0.000E+00 4.694E+06 0.000E+00 5.457E+01
  1.025E+06 0.000E+00 1.323E-05 3.356E-05 3.976E-06 0.000E+00 5.805E+06 0.000E+00 5.457E+01
  1.125E+06 0.000E+00 1.323E-05 3.356E-05 4.602E-06 0.000E+00 1.539E+07 0.000E+00 5.457E+01
  1.225E+06 0.000E+00 1.323E-05 3.356E-05 5.329E-06 0.000E+00 2.726E+07 0.000E+00 5.457E+01
  1.325E+06 0.000E+00 1.323E-05 3.356E-05 6.169E-06 0.000E+00 5.841E+07 0.000E+00 5.457E+01
  1.425E+06 0.000E+00 1.323E-05 3.356E-05 7.138E-06 0.000E+00 8.124E+07 0.000E+00 5.457E+01
  1.525E+06 0.000E+00 1.323E-05 3.356E-05 8.254E-06 0.000E+00 1.033E+08 0.000E+00 5.457E+01
  1.625E+06 0.000E+00 1.323E-05 3.356E-05 9.539E-06 0.000E+00 1.200E+08 0.000E+00 5.457E+01
  1.725E+06 0.000E+00 1.323E-05 3.356E-05 1.102E-05 0.000E+00 1.244E+08 0.000E+00 5.457E+01
  1.825E+06 0.000E+00 1.323E-05 3.356E-05 1.272E-05 0.000E+00 1.257E+08 0.000E+00 5.457E+01
  1.925E+06 0.000E+00 1.323E-05 3.356E-05 1.466E-05 0.000E+00 1.208E+08 0.000E+00 5.457E+01
  2.025E+06 0.000E+00 1.323E-05 3.356E-05 1.690E-05 0.000E+00 1.087E+08 0.000E+00 5.457E+01
  2.125E+06 0.000E+00 1.323E-05 3.356E-05 1.946E-05 0.000E+00 9.883E+07 0.000E+00 5.457E+01
  2.225E+06 0.000E+00 1.323E-05 3.356E-05 2.240E-05 0.000E+00 8.752E+07 0.000E+00 5.457E+01
  2.325E+06 0.000E+00 1.321E-05 3.348E-05 2.577E-05 0.000E+00 7.737E+07 0.000E+00 5.457E+01
  2.425E+06 0.000E+00 1.315E-05 3.319E-05 2.964E-05 0.000E+00 6.840E+07 0.000E+00 5.457E+01
  2.525E+06 0.000E+00 1.305E-05 3.276E-05 3.407E-05 0.000E+00 6.055E+07 0.000E+00 5.457E+01
  2.625E+06 0.000E+00 1.297E-05 3.237E-05 3.915E-05 0.000E+00 5.428E+07 0.000E+00 5.457E+01
  2.725E+06 0.000E+00 1.286E-05 3.189E-05 4.499E-05 0.000E+00 4.868E+07 0.000E+00 5.457E+01
  2.825E+06 0.000E+00 1.269E-05 3.109E-05 5.170E-05 0.000E+00 4.299E+07 0.000E+00 5.457E+01
  2.925E+06 0.000E+00 1.262E-05 3.079E-05 5.940E-05 0.000E+00 3.966E+07 0.000E+00 5.457E+01
  3.025E+06 0.000E+00 1.250E-05 3.022E-05 6.826E-05 0.000E+00 3.602E+07 0.000E+00 5.457E+01
  3.125E+06 0.000E+00 1.230E-05 2.931E-05 7.844E-05 0.000E+00 3.216E+07 0.000E+00 5.457E+01
  3.225E+06 0.000E+00 1.216E-05 2.871E-05 9.015E-05 0.000E+00 2.957E+07 0.000E+00 5.457E+01
  3.325E+06 0.000E+00 1.201E-05 2.802E-05 1.036E-04 0.000E+00 2.721E+07 0.000E+00 5.457E+01
  3.425E+06 0.000E+00 1.179E-05 2.708E-05 1.191E-04 0.000E+00 2.481E+07 0.000E+00 5.457E+01
  3.525E+06 0.000E+00 1.156E-05 2.608E-05 1.367E-04 0.000E+00 2.276E+07 0.000E+00 5.457E+01
  3.625E+06 0.000E+00 1.115E-05 2.434E-05 1.570E-04 0.000E+00 2.019E+07 0.000E+00 5.457E+01
