
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 1.333E-01 6.187E-05 1.192E-04 1.655E-03 5.097E+08 7.118E+06 2.401E+10 7.530E+09
  1.250E+05 1.450E-01 6.187E-05 1.192E-04 1.691E-03 4.891E+08 6.837E+06 2.202E+10 7.530E+09
  2.250E+05 1.871E-01 6.187E-05 1.192E-04 1.731E-03 4.676E+08 6.551E+06 1.702E+10 7.530E+09
  3.250E+05 2.491E-01 6.187E-05 1.192E-04 1.776E-03 4.458E+08 6.266E+06 1.274E+10 7.530E+09
  4.250E+05 3.244E-01 6.187E-05 1.192E-04 1.829E-03 4.221E+08 5.958E+06 9.740E+09 7.530E+09
  5.250E+05 4.102E-01 6.187E-05 1.192E-04 1.892E-03 3.962E+08 5.620E+06 7.664E+09 7.530E+09
  6.250E+05 5.037E-01 6.187E-05 1.192E-04 1.964E-03 3.701E+08 5.285E+06 6.199E+09 7.530E+09
  7.250E+05 5.983E-01 6.187E-05 1.192E-04 2.031E-03 3.502E+08 5.058E+06 5.162E+09 7.530E+09
  8.250E+05 6.957E-01 6.187E-05 1.192E-04 2.102E-03 3.314E+08 4.852E+06 4.380E+09 7.530E+09
  9.250E+05 7.905E-01 6.187E-05 1.192E-04 2.174E-03 3.152E+08 4.694E+06 3.790E+09 7.530E+09
  1.025E+06 8.964E-01 6.187E-05 1.192E-04 2.236E-03 3.048E+08 5.805E+06 3.268E+09 7.530E+09
  1.125E+06 1.179E+00 6.187E-05 1.192E-04 2.302E-03 2.952E+08 1.539E+07 2.420E+09 7.530E+09
  1.225E+06 1.960E+00 6.187E-05 1.192E-04 2.370E-03 2.873E+08 2.726E+07 1.412E+09 7.530E+09
  1.325E+06 3.402E+00 6.187E-05 1.192E-04 2.446E-03 2.795E+08 5.841E+07 7.852E+08 7.530E+09
  1.425E+06 5.823E+00 6.187E-05 1.192E-04 2.536E-03 2.707E+08 8.124E+07 4.408E+08 7.530E+09
  1.525E+06 8.511E+00 6.187E-05 1.192E-04 2.643E-03 2.609E+08 1.033E+08 2.883E+08 7.530E+09
  1.625E+06 1.123E+01 6.187E-05 1.192E-04 2.768E-03 2.503E+08 1.200E+08 2.077E+08 7.530E+09
  1.725E+06 1.350E+01 6.187E-05 1.192E-04 2.916E-03 2.388E+08 1.244E+08 1.632E+08 7.530E+09
  1.825E+06 1.509E+01 6.187E-05 1.192E-04 3.092E-03 2.265E+08 1.257E+08 1.371E+08 7.530E+09
  1.925E+06 1.597E+01 6.187E-05 1.192E-04 3.300E-03 2.133E+08 1.208E+08 1.208E+08 7.530E+09
  2.025E+06 1.641E+01 6.151E-05 1.186E-04 3.516E-03 2.011E+08 1.087E+08 1.087E+08 7.401E+09
  2.125E+06 1.653E+01 6.086E-05 1.174E-04 3.742E-03 1.897E+08 9.883E+07 9.883E+07 7.166E+09
  2.225E+06 1.687E+01 5.944E-05 1.150E-04 3.931E-03 1.812E+08 8.752E+07 8.752E+07 6.676E+09
  2.325E+06 1.711E+01 5.780E-05 1.124E-04 4.121E-03 1.734E+08 7.737E+07 7.737E+07 6.141E+09
  2.425E+06 1.724E+01 5.606E-05 1.099E-04 4.313E-03 1.661E+08 6.840E+07 6.840E+07 5.602E+09
