
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 1.160E-01 1.990E-04 4.998E-04 4.153E-06 6.112E+14 6.441E+13 2.888E+10 2.506E+11
  1.250E+05 1.411E-01 1.990E-04 4.998E-04 4.212E-06 5.906E+14 6.188E+13 2.386E+10 2.506E+11
  2.250E+05 2.000E-01 1.990E-04 4.998E-04 4.279E-06 5.691E+14 5.929E+13 1.692E+10 2.506E+11
  3.250E+05 2.884E-01 1.990E-04 4.998E-04 4.352E-06 5.472E+14 5.671E+13 1.179E+10 2.506E+11
  4.250E+05 4.046E-01 1.990E-04 4.998E-04 4.439E-06 5.230E+14 5.391E+13 8.445E+09 2.506E+11
  5.250E+05 5.503E-01 1.990E-04 4.998E-04 4.546E-06 4.961E+14 5.086E+13 6.241E+09 2.506E+11
  6.250E+05 7.273E-01 1.990E-04 4.998E-04 4.666E-06 4.687E+14 4.783E+13 4.744E+09 2.506E+11
  7.250E+05 9.306E-01 1.990E-04 4.998E-04 4.756E-06 4.499E+14 4.577E+13 3.719E+09 2.506E+11
  8.250E+05 1.166E+00 1.990E-04 4.998E-04 4.844E-06 4.326E+14 4.391E+13 2.975E+09 2.506E+11
  9.250E+05 1.429E+00 1.990E-04 4.998E-04 4.917E-06 4.192E+14 4.248E+13 2.432E+09 2.506E+11
  1.025E+06 1.734E+00 1.990E-04 4.998E-04 4.941E-06 4.149E+14 5.253E+13 2.005E+09 2.506E+11
  1.125E+06 2.329E+00 1.990E-04 4.998E-04 4.954E-06 4.126E+14 1.393E+14 1.493E+09 2.506E+11
  1.225E+06 3.748E+00 1.990E-04 4.998E-04 4.945E-06 4.141E+14 2.467E+14 9.276E+08 2.506E+11
  1.325E+06 6.421E+00 1.990E-04 4.998E-04 4.926E-06 4.174E+14 5.286E+14 5.413E+08 2.506E+11
  1.425E+06 1.126E+01 1.990E-04 4.998E-04 4.908E-06 4.208E+14 7.352E+14 3.085E+08 2.506E+11
  1.525E+06 1.777E+01 1.990E-04 4.998E-04 4.888E-06 4.243E+14 9.351E+14 1.955E+08 2.506E+11
  1.625E+06 2.616E+01 1.990E-04 4.998E-04 4.867E-06 4.282E+14 1.086E+15 1.327E+08 2.506E+11
  1.725E+06 3.610E+01 1.990E-04 4.998E-04 4.844E-06 4.326E+14 1.126E+15 9.610E+07 2.506E+11
